method,cora_seeds,cora_acc_percent,cora_std_percent,cora_forward_flops,cora_dense_forward_flops,cora_flops_ratio,pubmed_seeds,pubmed_acc_percent,pubmed_std_percent,pubmed_forward_flops,pubmed_dense_forward_flops,pubmed_flops_ratio,cora_full_seeds,cora_full_acc_percent,cora_full_std_percent,cora_full_forward_flops,cora_full_dense_forward_flops,cora_full_flops_ratio,dblp_seeds,dblp_acc_percent,dblp_std_percent,dblp_forward_flops,dblp_dense_forward_flops,dblp_flops_ratio,acm_seeds,acm_acc_percent,acm_std_percent,acm_forward_flops,acm_dense_forward_flops,acm_flops_ratio
Dense,4,87.03976422548294,1.2365874817268525,288432800.0,288432800.0,1.0,4,86.36086583137512,0.40491041278039563,750033216.0,750033216.0,1.0,4,70.3462541103363,0.5496625902405887,13685848900.0,13685848900.0,1.0,4,85.51354259252548,0.3523816865053905,2275442732.0,2275442732.0,1.0,4,92.57916063070297,0.48808286833936126,421842148.0,421842148.0,1.0
UGS,4,80.4860088365243,4.17143123365789,203757842.0,288432800.0,0.7064308982889602,4,85.84331236046275,0.3204313660208423,530749642.5,750033216.0,0.7076348502677513,4,63.33535231173026,1.4572353341385031,9672480134.5,13685848900.0,0.706750469421009,4,81.70428893905192,0.1905411175635898,1609512161.5,2275442732.0,0.7073402194944803,4,90.96306068601582,0.754981737616067,298751631.0,421842148.0,0.7082071633107652
CGP,4,85.78750000000001,2.1802451123669564,204517370.0,288432800.0,0.7090641910351388,4,87.36749999999999,0.3049077729412607,531902856.0,750033216.0,0.7091724001727412,4,68.3675,0.5227989575353026,9695487704.0,13685848900.0,0.708431590531443,4,83.60499999999999,0.29474565306379014,1612464118.0,2275442732.0,0.7086375303248018,4,90.305,1.354889294370577,299144484.0,421842148.0,0.709138442941932
UniFews,4,82.16395974159241,1.1218945482125646,205437870.0,288432800.0,0.7122555756488167,4,84.01622772216797,0.42475385517662123,534335039.0,750033216.0,0.7124151672237407,4,58.93902778625488,1.1417842354919643,9576101875.0,13685848900.0,0.6997082859069121,4,84.00112986564636,0.2433187246276154,1586035700.0,2275442732.0,0.697022903584989,4,79.81530278921127,1.6739549919934975,299559002.0,421842148.0,0.7101210806464981
ACE-GLT,4,76.76730453968048,14.870943297328864,204427584.0,288432800.0,0.7087529018891056,4,85.23949682712555,0.42486168700238475,531309350.0,750033216.0,0.7083810938847807,4,66.96951389312744,0.691186439501848,9683905480.0,13685848900.0,0.7075852985633941,4,84.2776507139206,0.19253550302425704,1610574414.0,2275442732.0,0.7078070528210507,4,91.82058572769165,0.7225881353938933,298798940.0,421842148.0,0.7083193118957852
DSpar,4,86.15611046552658,1.11677047303003,279153490.0,288432800.0,0.9678285201960387,4,85.8483836054802,0.3748996115867131,721736136.0,750033216.0,0.9622722308874384,4,68.2414710521698,0.9544890541166138,13020530248.0,13685848900.0,0.9513863804239429,4,84.79683995246887,0.3319502162054016,2169434492.0,2275442732.0,0.9534120377941465,4,92.54617840051651,0.662921129403239,409441340.0,421842148.0,0.9706032029781908
SGCN,4,87.44477331638336,1.103950983012486,279153490.0,288432800.0,0.9678285201960387,4,85.60990244150162,0.3961699686738722,721736136.0,750033216.0,0.9622722308874384,4,67.51463860273361,0.7123880306742564,13020530248.0,13685848900.0,0.9513863804239429,4,84.3961626291275,0.4700946368513147,2169434492.0,2275442732.0,0.9534120377941465,4,91.95251017808914,0.6117144568922777,409441340.0,421842148.0,0.9706032029781908
AdaptiveGCN,4,85.89837998151779,1.4140553413790442,279153490.0,288432800.0,0.9678285201960387,4,85.9092727303505,0.47628789636900243,721736136.0,750033216.0,0.9622722308874384,4,68.71592998504639,0.4718737556834923,13020530248.0,13685848900.0,0.9513863804239429,4,84.62753742933273,0.24882038888891853,2169434492.0,2275442732.0,0.9534120377941465,4,92.28232502937317,0.5318106528819292,409441340.0,421842148.0,0.9706032029781908
LSP-P,4,86.04565560817719,1.0639319913877299,279153490.0,288432800.0,0.9678285201960387,4,86.08179092407227,0.3311384762147704,721736136.0,750033216.0,0.9622722308874384,4,69.78093981742859,0.8321243213139805,13020530248.0,13685848900.0,0.9513863804239429,4,85.66591292619705,0.1777418721997947,2169434492.0,2275442732.0,0.9534120377941465,4,92.44723170995712,0.4412633666428637,409441340.0,421842148.0,0.9706032029781908
NeuralSparse,4,86.41384392976761,0.6534684801977896,279153490.0,288432800.0,0.9678285201960387,4,85.84331125020981,0.5786237389982822,721736136.0,750033216.0,0.9622722308874384,4,69.04401481151581,0.6751339064933838,13020530248.0,13685848900.0,0.9513863804239429,4,84.72347557544708,0.20464397474767265,2169434492.0,2275442732.0,0.9534120377941465,4,91.4248064160347,0.6117150996263672,409441340.0,421842148.0,0.9706032029781908
GraSP,4,85.38291603326797,1.8928601588026475,210177120.0,288432800.0,0.7286866126182597,4,85.48305183649063,0.8075768274832221,549512836.0,750033216.0,0.7326513336710677,4,52.55400836467743,4.502207890772002,10207265400.0,13685848900.0,0.7458262526922974,4,85.18622815608978,0.22650618154761745,1690825972.0,2275442732.0,0.7430755994082298,4,91.68865829706192,1.127177648308052,306315428.0,421842148.0,0.7261375598722771
GCNP,4,83.8,1.2080355955020545,362916464.0,511581696.0,0.7094007992029487,4,87.6925,0.5606413737854176,979046939.5,1361567488.0,0.7190586938427249,4,57.95,0.5875797818169018,15729659453.0,22341473024.0,0.7040565067532765,4,83.355,0.34311076928595413,2700772179.0,3811844352.0,0.7085211067400897,4,89.2125,1.6101610944250313,531838554.0,751374208.0,0.7078211473556463
